Textgrid-Id	Gattung(en)
https://textgridrep.org/browse/-/browse/xknr_0  Drama
s8c9.0	Drama
sssj.0	Drama
p8vz.0	Drama
tndf.0	Drama
pksn.0	Drama
wf6k.0	Drama
t9p6.0	Drama
s4m0.0	Drama
v341.0	Drama
x8ks.0	Drama
v401.0	Drama
qdk1.0	Drama
psxj.0	Drama
r0jz.0	Drama
t3sh.0	Drama
v3vp.0	Drama
v3t3.0	Drama
qkq1.0	Drama
mvqs.0	Drama
vpv9.0	Drama
vnft.0	Drama
qdmd.0	Drama
kq0w.0	Drama
qd3h.0	Drama
x90m.0	Drama
q3hr.0	Drama
nkww.0	Drama
x4gj.0	Drama
s9j7.0	Drama
x438.0	Drama
kpsp.0	Drama
mvqp.0	Drama
krf8.0	Drama
qn2m.0	Drama
kjgj.0	Drama
qkm5.0	Drama
jkjf.0	Drama
kd4z.0	Drama
v3mq.0	Drama
p7m9.0	Drama
p8rz.0	Drama
p7dk.0	Drama
n0xc.0	Drama
11g5w.0	Drama
11f81.0	Drama
s4hh.0	Drama
q4j5.0	Drama
v3nb.0	Drama
v3nq.0	Drama
vn2f.0	Drama
vn41.0	Drama
rjzc.0	Drama
rkzp.0	Drama
ksd1.0	Drama
qn30.0	Drama
qdqn.0	Drama
qkmh.0	Drama
tff9.0	Drama
tfsf.0	Drama
qkp7.0	Drama
tv5t.0	Drama
strx.0	Drama
msdg.0	Drama
11g68.0	Drama
r0gb.0	Drama
ktt1.0	Drama
swzz.0	Drama
k7f7.0	Drama
t976.0	Drama
str5.0	Drama
x4vf.0	Drama
tv5b.0	Drama
jnhn.0	Drama
kq6g.0	Drama
tpxs.0	Drama
x8br.0	Drama
wzph.0	Drama
qdm5.0	Drama
sttf.0	Drama
mvqk.0	Drama
sj6v.0	Drama
nm24.0	Drama
p5c7.0	Drama
vn2c.0	Drama
tvgp.0	Drama
sj6f.0	Drama
np6j.0	Drama
tpqs.0	Drama
r135.0	Drama
jn5z.0	Drama
v3vz.0	Drama
sv5m.0	Drama
kpsk.0	Drama
pmfw.0	Drama
qdks.0	Drama
t96s.0	Drama
pkjc.0	Drama
m08h.0	Drama
t977.0	Drama
rfx8.0	Drama
vpvq.0	Drama
w40m.0	Drama
kpkv.0	Drama
11f9k.0	Drama
m086.0	Drama
pm99.0	Drama
t971.0	Drama
nkcq.0	Drama
x3zz.0	Drama
nkdt.0	Drama
nfhm.0	Drama
rhnx.0	Drama
s6m6.0	Drama
pvpz.0	Drama
mvr3.0	Drama
rjg0.0	Drama
kq6v.0	Drama
qx5q.0	Drama
pgph.0	Drama
n7sd.0	Drama
sf4d.0	Drama
11g5f.0	Drama
jn6k.0	Drama
n23j.0	Drama
tvbm.0	Drama
n3cn.0	Drama
